cluster,rank,gene,log2_fold_change,pval_adj,score
1,11,RPL30,1.0039656162261963,3.060668386529986e-157,26.96735191345215
1,12,TPT1,0.9196772575378418,1.7614352587242339e-155,26.814599990844727
1,13,CD3D,3.0253243446350098,3.418718668070852e-154,26.699764251708984
1,14,RPL9,1.092572569847107,8.49891013709372e-150,26.316566467285156
1,15,RPS15A,0.928590714931488,6.202617398568783e-148,26.151409149169922
1,16,RPLP2,0.833397626876831,5.910829616896682e-147,26.063405990600586
1,17,RPS27A,1.2626736164093018,3.229342183448546e-146,25.99656105041504
1,18,RPS18,0.7492925524711609,1.6265328999840456e-143,25.75482177734375
1,19,EEF1A1,0.7197591662406921,3.1959121813627513e-141,25.547683715820312
1,20,RPS29,1.2979785203933716,2.301809505427352e-139,25.378435134887695
1,21,RPL13,0.7067112922668457,1.072500096290677e-136,25.13405418395996
1,22,RPL27A,0.7964069843292236,9.071145947492423e-132,24.67779541015625
1,23,RPL21,0.8842667937278748,2.454406515901434e-130,24.54120445251465
1,24,RPS3A,1.1001404523849487,2.776774578959723e-129,24.440975189208984
1,25,RPL13A,0.6722652316093445,5.050584377079529e-127,24.226198196411133
2,1,CD74,4.079534530639648,3.410870701548641e-179,28.874624252319336
2,2,CD79A,7.749745845794678,1.1517911861922591e-166,27.834062576293945
2,3,HLA-DRA,4.8870344161987305,3.170270491674542e-163,27.533710479736328
2,4,CD79B,5.518004417419434,8.808279759577793e-151,26.463241577148438
2,5,HLA-DPB1,4.06581449508667,9.811531645216702e-145,25.9239501953125
2,6,MS4A1,6.43440580368042,1.4397497398886276e-137,25.2731876373291
2,7,HLA-DQA1,5.361480712890625,1.5704355480810436e-137,25.26366424560547
2,8,CD37,2.503739595413208,4.1621126428573514e-128,24.385656356811523
2,9,HLA-DRB1,3.9003641605377197,7.543035107185289e-128,24.356475830078125
2,10,HLA-DQB1,4.983481407165527,2.3124154680877303e-127,24.306188583374023
2,11,HLA-DPA1,3.6985204219818115,3.1077551974763093e-121,23.71554183959961
2,12,HLA-DRB5,3.2916483879089355,1.377280674138222e-84,19.83775520324707
2,13,TCL1A,6.912736415863037,6.508559251945888e-72,18.3046817779541
2,14,RPL18A,0.7295571565628052,1.4040173535426495e-64,17.357187271118164
2,15,LINC00926,7.351132392883301,8.831559921719427e-60,16.7041015625
2,16,HLA-DMA,3.1129088401794434,7.700517581673106e-59,16.568403244018555
2,17,RPS23,0.7956924438476562,6.1693469219036595e-49,15.118950843811035
2,18,RPS11,0.9083666801452637,2.932185835380032e-48,15.013538360595703
2,19,RPS5,0.7859174013137817,1.2693122885212714e-46,14.756921768188477
2,20,VPREB3,7.412924766540527,2.3666301263149996e-45,14.55383014678955
2,21,HLA-DQA2,4.237632751464844,2.535551873525479e-44,14.388606071472168
2,22,HLA-DMB,3.229107141494751,2.7356472766467026e-41,13.895106315612793
2,23,LTB,1.8382540941238403,9.829939158581966e-41,13.799103736877441
2,24,BANK1,4.789381980895996,6.2653031562379156e-40,13.659099578857422
2,25,HVCN1,3.948038101196289,1.2992514298285264e-37,13.259430885314941
3,1,LYZ,6.237543106079102,1.3810819603024276e-248,33.95563888549805
3,2,S100A9,7.345998764038086,2.5098169513860077e-244,33.64523696899414
3,3,S100A8,7.582098007202148,4.323282158062462e-235,32.995391845703125
